"child","value","parent"
"aerial lights",2,"lightform"
"amp light",2,"lightform"
"amp lights",2,"lightform"
"animated lights",2,"lightform"
"anomalous light",2,"lightform"
"anouther light",2,"lightform"
"apparent light",2,"lightform"
"appearing light",2,"lightform"
"arizona lights",2,"lightform"
"ascending light",2,"lightform"
"ascending lights",2,"lightform"
"auburn lights",2,"lightform"
"aviation lights",2,"lightform"
"ball lights",2,"lightform"
"beacon lights",2,"lightform"
"beam light",2,"lightform"
"beaming lights",2,"lightform"
"beautiful light",2,"lightform"
"beautiful lights",2,"lightform"
"belly lights",2,"lightform"
"bigger light",2,"lightform"
"bizarre light",2,"lightform"
"bliking lights",2,"lightform"
"bluegreen light",2,"lightform"
"blurry light",2,"lightform"
"blurry lights",2,"lightform"
"bouncing lights",2,"lightform"
"brigh light",2,"lightform"
"brighter lights",2,"lightform"
"brightly light",2,"lightform"
"brigth light",2,"lightform"
"bue lights",2,"lightform"
"bule light",2,"lightform"
"burning lights",2,"lightform"
"camera lights",2,"lightform"
"cast light",2,"lightform"
"center lights",2,"lightform"
"chaser lights",2,"lightform"
"circulating lights",2,"lightform"
"city light",2,"lightform"
"cloudy light",2,"lightform"
"collision lights",2,"lightform"
"corner lights",2,"lightform"
"craft light",2,"lightform"
"crazy lights",2,"lightform"
"defined light",2,"lightform"
"diffuse light",2,"lightform"
"dimmer lights",2,"lightform"
"dimming light",2,"lightform"
"directional lights",2,"lightform"
"disco light",2,"lightform"
"disk light",2,"lightform"
"disk lights",2,"lightform"
"drifting light",2,"lightform"
"dull light",2,"lightform"
"east light",2,"lightform"
"emits light",2,"lightform"
"emitted light",2,"lightform"
"energy light",2,"lightform"
"exploding light",2,"lightform"
"extreme light",2,"lightform"
"faa lights",2,"lightform"
"falling lights",2,"lightform"
"field lights",2,"lightform"
"firey lights",2,"lightform"
"flahing lights",2,"lightform"
"flair light",2,"lightform"
"flaming light",2,"lightform"
"flashed lights",2,"lightform"
"flashes light",2,"lightform"
"flashes lights",2,"lightform"
"flashy lights",2,"lightform"
"flasing lights",2,"lightform"
"flat lights",2,"lightform"
"flood lights",2,"lightform"
"flourescent light",2,"lightform"
"fluorescent lights",2,"lightform"
"focused light",2,"lightform"
"front light",2,"lightform"
"fuzzy light",2,"lightform"
"giant light",2,"lightform"
"gigantic light",2,"lightform"
"globe light",2,"lightform"
"glow light",2,"lightform"
"ground lights",2,"lightform"
"haze light",2,"lightform"
"hoax lights",2,"lightform"
"hundred lights",2,"lightform"
"illuminated light",2,"lightform"
"illuminating lights",2,"lightform"
"incredible light",2,"lightform"
"intence light",2,"lightform"
"jet lights",2,"lightform"
"lazer light",2,"lightform"
"lead light",2,"lightform"
"left light",2,"lightform"
"lots lights",2,"lightform"
"low light",2,"lightform"
"low lights",2,"lightform"
"lower lights",2,"lightform"
"luminescent lights",2,"lightform"
"luminous lights",2,"lightform"
"maneuvering light",2,"lightform"
"marking lights",2,"lightform"
"massive light",2,"lightform"
"meteor lights",2,"lightform"
"middle light",2,"lightform"
"morphing light",2,"lightform"
"natural light",2,"lightform"
"nav light",2,"lightform"
"neighborhood lights",2,"lightform"
"night lights",2,"lightform"
"noiseless lights",2,"lightform"
"normal lights",2,"lightform"
"nose light",2,"lightform"
"nose lights",2,"lightform"
"objects light",2,"lightform"
"observed lights",2,"lightform"
"obvious light",2,"lightform"
"orangeish light",2,"lightform"
"oranges lights",2,"lightform"
"orangle lights",2,"lightform"
"orbital light",2,"lightform"
"organge light",2,"lightform"
"original light",2,"lightform"
"outer light",2,"lightform"
"outer lights",2,"lightform"
"pale light",2,"lightform"
"patterned lights",2,"lightform"
"peach light",2,"lightform"
"perimeter lights",2,"lightform"
"phoenix light",2,"lightform"
"phx lights",2,"lightform"
"pinkish lights",2,"lightform"
"plane light",2,"lightform"
"positioned lights",2,"lightform"
"prism light",2,"lightform"
"pure light",2,"lightform"
"puslating lights",2,"lightform"
"quick light",2,"lightform"
"quiet light",2,"lightform"
"radiating light",2,"lightform"
"radiating lights",2,"lightform"
"random light",2,"lightform"
"range lights",2,"lightform"
"rounded light",2,"lightform"
"saucer lights",2,"lightform"
"separate light",2,"lightform"
"separated lights",2,"lightform"
"sequential lights",2,"lightform"
"shifting light",2,"lightform"
"shifting lights",2,"lightform"
"shined light",2,"lightform"
"shines light",2,"lightform"
"shiny light",2,"lightform"
"shooting lights",2,"lightform"
"short light",2,"lightform"
"silvery light",2,"lightform"
"similar lights",2,"lightform"
"singular lights",2,"lightform"
"skipping lights",2,"lightform"
"slow lights",2,"lightform"
"sodium light",2,"lightform"
"soft light",2,"lightform"
"sound lights",2,"lightform"
"soundless light",2,"lightform"
"soundless lights",2,"lightform"
"source light",2,"lightform"
"spectacular lights",2,"lightform"
"speeding lights",2,"lightform"
"square light",2,"lightform"
"stange lights",2,"lightform"
"starburst light",2,"lightform"
"stat light",2,"lightform"
"strang lights",2,"lightform"
"streaking lights",2,"lightform"
"strobbing lights",2,"lightform"
"subdued lights",2,"lightform"
"suspended lights",2,"lightform"
"sweeping light",2,"lightform"
"swirling lights",2,"lightform"
"texas light",2,"lightform"
"tower light",2,"lightform"
"traffic lights",2,"lightform"
"translucent lights",2,"lightform"
"transluscent light",2,"lightform"
"transparent light",2,"lightform"
"tubular lights",2,"lightform"
"turqoise light",2,"lightform"
"turquoise lights",2,"lightform"
"twenty lights",2,"lightform"
"unblinking light",2,"lightform"
"underwater light",2,"lightform"
"underwater lights",2,"lightform"
"undulating light",2,"lightform"
"unexplainable light",2,"lightform"
"unidentifiable light",2,"lightform"
"unnatural light",2,"lightform"
"utah light",2,"lightform"
"valley light",2,"lightform"
"vanishing light",2,"lightform"
"vegas lights",2,"lightform"
"violet lights",2,"lightform"
"watched lights",2,"lightform"
"wavering light",2,"lightform"
"whit light",2,"lightform"
"whit lights",2,"lightform"
"wierd light",2,"lightform"
"winking light",2,"lightform"
"witness light",2,"lightform"
"2strange lights",1,"lightform"
"2white lights",1,"lightform"
"3bright lights",1,"lightform"
"3green lights",1,"lightform"
"44around light",1,"lightform"
"44blmulticolored lights",1,"lightform"
"44bright lights",1,"lightform"
"44brilliant light",1,"lightform"
"44ca light",1,"lightform"
"44circular light",1,"lightform"
"44flashing lights",1,"lightform"
"44gold lights",1,"lightform"
"44horizontal lights",1,"lightform"
"44michigan light",1,"lightform"
"44middle light",1,"lightform"
"44no light",1,"lightform"
"44observed light",1,"lightform"
"44orange light",1,"lightform"
"44orange lights",1,"lightform"
"44pink lights",1,"lightform"
"44pulsing lights",1,"lightform"
"44red light",1,"lightform"
"44reddish lights",1,"lightform"
"44rotateing light",1,"lightform"
"44search lights",1,"lightform"
"44silent light",1,"lightform"
"44stretching light",1,"lightform"
"44strobe lights",1,"lightform"
"44the lights",1,"lightform"
"44three lights",1,"lightform"
"44yellowish light",1,"lightform"
"6orange lights",1,"lightform"
"a.m lights",1,"lightform"
"abnormal lights",1,"lightform"
"accelerating light",1,"lightform"
"acrobatic light",1,"lightform"
"activity light",1,"lightform"
"additional light",1,"lightform"
"admitted light",1,"lightform"
"adv light",1,"lightform"
"advanced light",1,"lightform"
"aerial light",1,"lightform"
"aflashing light",1,"lightform"
"air lights",1,"lightform"
"algonac lights",1,"lightform"
"aligned lights",1,"lightform"
"alot light",1,"lightform"
"alt light",1,"lightform"
"aluminating lights",1,"lightform"
"amazing light",1,"lightform"
"amazing lights",1,"lightform"
"ambers lights",1,"lightform"
"amphibious light",1,"lightform"
"angle lights",1,"lightform"
"anomalious lights",1,"lightform"
"anomalous lights",1,"lightform"
"anomlous lights",1,"lightform"
"anomolus light",1,"lightform"
"apartment lights",1,"lightform"
"apinkish light",1,"lightform"
"appearance light",1,"lightform"
"approaching light",1,"lightform"
"aqua light",1,"lightform"
"arching light",1,"lightform"
"arcing light",1,"lightform"
"arial light",1,"lightform"
"arranged lights",1,"lightform"
"asterisk lights",1,"lightform"
"atlanta lights",1,"lightform"
"attached lights",1,"lightform"
"awe light",1,"lightform"
"awesome light",1,"lightform"
"azusa lights",1,"lightform"
"backyard lights",1,"lightform"
"balloon lights",1,"lightform"
"bar lights",1,"lightform"
