datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,year,month
1/13/2014 18:00,willow springs,nc,us,chevron,600,10 minutes,3 objects in formation looking stationary with no noise.  At first looked like three bright lights.  Then they appeared in a chevron sh,1/16/2014,35.5956,-78.7317,2014.0,1.0
1/13/2014 18:30,boone,ia,us,triangle,240,4 minutes,Saw in S sky over town bright light thought was air craft lights turnd to blue and red dimmed.  stoped at trafic light observed c,1/16/2014,42.0597,-93.88,2014.0,1.0
1/13/2014 18:45,greensboro,nc,us,teardrop,180,3 minutes,Silent&#44 bright white falling comet like object/light. Still then veering to the left.,1/16/2014,36.0725,-79.7922,2014.0,1.0
1/13/2014 21:00,clarksburg,md,us,cigar,4,3-4 seconds,A ball of orange light appeared in the night sky&#44 may be a possible meteor.,1/16/2014,39.2386,-77.2797,2014.0,1.0
1/13/2014 21:00,erzincan central (turkey),,,light,10800,3 hours,Hundreds ufos flew from very high altitude one after another and perhaps more i have not seen.,1/30/2014,39.75,39.5,2014.0,1.0
1/13/2014 22:22,holts summit,mo,us,changing,300,5 minutes (both),Its Baaaaaack &#33&#33&#33&#33  5th year same time same place.,1/16/2014,38.6403,-92.1222,2014.0,1.0
1/14/2014 0:35,myrtle beach,sc,us,circle,5,5 seconds,Strobing orange circular lights in a line two sets of three lights over the ocean.,1/16/2014,33.6889,-78.8869,2014.0,1.0
1/14/2014 2:00,flossmoor,il,us,triangle,3600,30-60 minutes,Triangular Shaped UFOs with Lights Silently Hovering in the Western Sky in Illinois.,1/16/2014,41.5428,-87.6847,2014.0,1.0
1/14/2014 5:15,angleton,tx,us,flash,3,1-3 seconds,Impact flash in brazoria county texas.,1/24/2014,29.1692,-95.4317,2014.0,1.0
1/14/2014 6:00,palestine,tx,us,triangle,300,5 minutes,Long triangular&#44 wing shaped&#44 black aircraft&#44 with two down facing&#44 constant green lights and one flashing red light.,1/16/2014,31.7619,-95.6306,2014.0,1.0
1/14/2014 6:30,yates center,ks,us,light,600,10 minutes,Lights moving in a distinct pattern.,1/24/2014,37.8811,-95.7331,2014.0,1.0
1/14/2014 8:50,mumbai (india),,,light,60,1 minutes,3 orange lights leading to same place. one was very large and golden lights flashing.,1/16/2014,19.076,72.8777,2014.0,1.0
1/14/2014 17:45,west kelowna (canada),bc,ca,other,900,15 minutes,Large light bigger than fullmoon moving in a circular and oval orbit in the sky above cloud line.,1/16/2014,49.9,-119.4833,2014.0,1.0
1/14/2014 18:30,surfside beach,sc,us,unknown,30,30 seconds,While standing in  my garage looked toward the ocean and quite a distance off and far above the ocean I seen one round orange light. A,1/16/2014,33.6058,-78.9733,2014.0,1.0
1/14/2014 18:45,eureka,ks,us,other,240,4 minutes,Three vertical yellowish-orange balls lit up the Eastern night sky.,1/16/2014,37.8239,-96.2889,2014.0,1.0
1/14/2014 18:45,fredonia,ks,us,light,240,4 minutes,Three people see orange lights in the western sky at night. One dims and re-lights in a horizontal row. 50 second video taken.,1/24/2014,37.5339,-95.8264,2014.0,1.0
1/14/2014 19:35,roanoke,va,us,light,120,~2 minutes,Bright&#44 reddish-orange light moving in the night sky above Roanoke&#44 Va.,1/16/2014,37.2708,-79.9417,2014.0,1.0
1/14/2014 20:50,waimanalo,hi,us,fireball,5,5 seconds,I saw an orange fireball with flames trailing as it shot diagonally across the sky and disappeared behind the nearby mountain range.,1/16/2014,21.35,-157.7208,2014.0,1.0
1/14/2014 21:27,seattle (shoreline district),wa,us,light,45,45 seconds,Bright light&#44 zig zagging eastward&#44 visible from 98133.,1/16/2014,47.6064,-122.3308,2014.0,1.0
1/14/2014 22:40,kimberly,id,us,fireball,300,3-5 minutes,Several Fireball follwed by three red triangles.,1/16/2014,42.5339,-114.3639,2014.0,1.0
1/14/2014 23:00,talkitna,ak,,,3,3 seconds,This is one you can see for yourself. TV show on IDHD Channel. &quot;Ice Cold Killers&quot; Season 2 episode2 &amp;quot;fear Thy Neighbor&amp;q,1/16/2014,62.3209,-150.1066,2014.0,1.0
1/15/2014 3:30,paia,hi,us,sphere,120,2 minutes,On 1/15/14 I Saw a golden sphere shaped object hovering over the water on the North Shore at 3:30am.,1/24/2014,20.9033,-156.3694,2014.0,1.0
1/15/2014 5:30,el dorado hills,ca,us,light,1800,30 minutes,Bright blinking light very far away that moved right to left and vertically with 2 smaller object&#39s leaving it.,1/16/2014,38.6858,-121.0811,2014.0,1.0
1/15/2014 12:00,tallahassee,fl,us,teardrop,600,5-10 minutes,Multiple roundish or teardrop shape orbs seen during the daytime.,1/16/2014,30.4381,-84.2808,2014.0,1.0
1/15/2014 13:00,pleasant grove,ar,us,disk,15,10-15 seconds,The object was stationary&#44 color of shiny brass&#44 Gave me the feeling of being &#39huge&#44 and far away&#39.,2/14/2014,35.8164,-91.9092,2014.0,1.0
1/15/2014 14:30,dana point,ca,us,sphere,1200,20 minutes,Black object flew around coastal cloud&#44 then flew into the cloud&#44 cloud dissipated 20 min. later.,4/11/2014,33.4669,-117.6972,2014.0,1.0
1/15/2014 14:30,spearsville,la,us,triangle,2700,45 minutes,12-15 lights&#44 rounded corner triangle shape&#44 hovered &amp; tilted fluidly&#44 disappeared after 45 min&#44 complete silence.,1/24/2014,32.9358,-92.605,2014.0,1.0
1/15/2014 17:45,mountain brook,al,us,light,120,1-2 minutes,Pulsing light hovering&#44 stationary and moving slowly over busy rush hour traffic - NOT a helicopter.,1/16/2014,33.5008,-86.7522,2014.0,1.0
1/15/2014 19:00,garner,nc,us,disk,300,5 minutes,7 Red Lights.,1/24/2014,35.7111,-78.6144,2014.0,1.0
1/15/2014 19:30,birmingham,al,us,formation,60,~1 minutes,Red and white lights appearing to be connected.  Large string of lights.,1/16/2014,33.5206,-86.8025,2014.0,1.0
1/15/2014 19:30,kihei,hi,us,circle,240,4 minutes,An orange hovering light moving very slowly&#44 occasionally hovering&#44 then moving north very fast.,1/16/2014,20.785,-156.4656,2014.0,1.0
1/15/2014 19:45,st. stephen,sc,us,sphere,720,12 minutes,Either 1 large craft or 6 objects&#44 4 escorting 2.,1/24/2014,33.4042,-79.9219,2014.0,1.0
1/15/2014 20:00,conyers,ga,us,formation,600,10 minutes,Massive/Quiet red and white light craft.,1/16/2014,33.6675,-84.0178,2014.0,1.0
1/15/2014 20:00,lilburn,ga,us,changing,3600,~1 hour,Red and white/yellow stars formed a large&#44 moving cluster then formed into a straight line moving northwest in the sky.,1/16/2014,33.89,-84.1431,2014.0,1.0
1/15/2014 20:00,williamston,sc,us,formation,180,3 minutes,A linear pattern of 12 reddish lights moving to the South.,1/16/2014,34.6183,-82.4781,2014.0,1.0
1/15/2014 20:10,campbell,ca,us,fireball,240,4 minutes,Single fireball spotted over Silicon Valley.,1/16/2014,37.2872,-121.9489,2014.0,1.0
1/15/2014 20:15,loganville,ga,us,light,120,2 minutes,5 to 7 aircraft in tight&#44 yet scattered formation&#44 with flashing red light&#44 no noise.,1/16/2014,33.8389,-83.9008,2014.0,1.0
1/15/2014 20:30,covington,ga,us,light,300,5 minutes,Weird.,1/16/2014,33.5967,-83.8603,2014.0,1.0
1/15/2014 20:30,dacula/auburn,ga,,unknown,420,7 minutes,Long string of red pulsating sequential lights moving in a northerly direction.,1/16/2014,34.0016,-83.8871,2014.0,1.0
1/15/2014 20:45,crystal city,tx,us,flash,5,5 seconds,Extremely bright bursts of white light moving at high speed approx. 200 feet above the ground.,1/16/2014,28.6772,-99.8278,2014.0,1.0
1/15/2014 21:00,peachtree city,ga,us,sphere,20,20 seconds,3 lights in a straight line&#44 2 red and one white,1/16/2014,33.3967,-84.5958,2014.0,1.0
1/15/2014 21:00,peachtree city,ga,us,sphere,20,20 seconds,3 lights in a straight line&#44 2 red and one white.,4/4/2014,33.3967,-84.5958,2014.0,1.0
1/15/2014 21:10,north sutton,nh,us,unknown,600,10 minutes,Three unidentified smoke trails followed by super fast super high jets.,1/16/2014,43.3639,-71.94,2014.0,1.0
1/15/2014 21:30,deleon springs,fl,,circle,300,5 minutes,Tons of white floating objects in formation&#44 during night.,1/16/2014,29.1194,-81.3515,2014.0,1.0
1/16/2014 1:00,shoreline,wa,us,other,240,4:00,Their was no visual site due to very heavy fog.  I believe this fog is on purpose to hide how huge these crafts are.,1/24/2014,47.7558,-122.3403,2014.0,1.0
1/16/2014 8:30,edmonton (canada),ab,ca,formation,1200,20 minutes,Metallic cloud cloaked object made up of three orb shaped components hovering in sky in broad daylight by international airport.,3/27/2014,53.55,-113.5,2014.0,1.0
1/16/2014 17:30,belgrade,mt,us,unknown,60,1 minutes,Low frequentcy sound vibration...like a horn.,1/24/2014,45.7761,-111.1761,2014.0,1.0
1/16/2014 18:00,canon city,co,us,sphere,20,20 seconds,Bright&#44 round object flashed brilliant white before climbing at a high rate of speed.,1/24/2014,38.4,-105.2167,2014.0,1.0
1/16/2014 18:15,mcallen,tx,us,teardrop,300,5 minutes,My mother and I were traveling South on Biccentennial&#44 when we got to the stoplight of Dove and Bicentennial at approximately 18:15.  W,1/24/2014,26.2031,-98.2297,2014.0,1.0
1/16/2014 18:27,birmingham,al,us,formation,40,40 seconds,Rotating lights moving rapidly across the sky.,1/16/2014,33.5206,-86.8025,2014.0,1.0
1/16/2014 18:30,cary,nc,us,triangle,600,10 minutes,6 Triangular hovering craft with synchronized lights.,1/24/2014,35.7914,-78.7814,2014.0,1.0
1/16/2014 18:40,corinth,ny,us,light,300,5 minutes,My wife noticed several yellow/orange lights in a west/south west direction.  After stopping the car&#44 while using power lines as a refe,1/24/2014,43.2444,-73.8328,2014.0,1.0
1/16/2014 19:00,forsyth,mo,us,fireball,180,3 minute,Fire in the sky.,1/24/2014,36.685,-93.1197,2014.0,1.0
1/16/2014 19:00,glenpool,ok,us,rectangle,120,1-2 minutes,Several different colored lights in the sky.,1/24/2014,35.9553,-96.0086,2014.0,1.0
1/16/2014 19:00,north chesterfield,va,,formation,300,5 minutes,String of 5 red lights heading east.,1/24/2014,37.459,-77.4685,2014.0,1.0
1/16/2014 20:00,buckhead,ga,us,triangle,3600,1 hour,I was driving in Atlanta and saw a triangular craft with five lights circling the sky; lasted about 1 hour&#44 was no plane I&#39ve ever seen,2/14/2014,33.5683,-83.3625,2014.0,1.0
1/16/2014 20:00,shartlesville,pa,us,unknown,120,2 minutes,Red&#44 blue&#44 green flashing lights with intermittent bright white pinpoint lights quickly and randomly flashing.,1/24/2014,40.5128,-76.1047,2014.0,1.0
1/16/2014 21:25,loxahatchee,fl,us,sphere,420,5-7 minutes,Round pure white glowing light moving back and forth up and down with speed and movements not capable by any helicopter or plane.,1/24/2014,26.6833,-80.28,2014.0,1.0
1/16/2014 22:00,clermont,fl,us,unknown,10,0:10,Flyby of an unknown object creating a very low frequency humming / pulsating sound.,1/24/2014,28.5492,-81.7731,2014.0,1.0
1/16/2014 22:00,menifee,ca,us,sphere,180,3 minutes,Sphere light ball dimming out then pulsating an tranforming to plane lights an moving north west when noticed.,1/24/2014,33.7283,-117.1456,2014.0,1.0
1/16/2014 23:00,covington,ky,us,circle,2,a few seconds,Saw 5-6 pulsing lights in a circular shape slowly moving across the sky low to the ground.,1/24/2014,39.0836,-84.5086,2014.0,1.0
1/16/2014 23:00,miami,fl,us,other,30,0.3,Red round light&#44 southeast of Kendall&#44 saw it for 30 seconds it just vanish in front of My eyes&#44 at 11:07 pm&#44 for sure not an airplane&#44,1/24/2014,25.7739,-80.1939,2014.0,1.0
1/16/2014 23:16,coldwater,ms,us,circle,240,4 minutes,White&#44 ball-like objects hovering in sky. Glowing and shining after a few minutes&#44 flew away slowly.,1/24/2014,34.6917,-89.9772,2014.0,1.0
